epoch,train_loss,train_binary_label_loss,train_text_binary_distill,train_text_severity_distill,train_embedding_alignment,train_severity_consistency,train_severity_ce,val_threshold,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,val_pr_auc,val_severity_accuracy_pseudo,val_severity_macro_f1_pseudo
1,2.180824884661922,0.906366397385244,0.6945744316886973,1.7078584995534685,1.0066597941848967,0.05578092330445846,1.3711063000890944,0.1,0.4056795131845842,0.5772005772005772,0.4056795131845842,1.0,0.5195392491467576,0.43781330757997844,0.5679513184584178,0.2989034168403526
2,2.1624778751973754,0.9039461204299221,0.6896628345604296,1.687186031429856,0.9886871730839765,0.053721460065356004,1.36035931441519,0.1,0.4056795131845842,0.5772005772005772,0.4056795131845842,1.0,0.5674402730375427,0.49253389990994517,0.5943204868154158,0.31764837816702407
3,2.1423063609335156,0.901156140698327,0.6866091517386613,1.6616906280870791,0.9705105732988428,0.052243034148381814,1.345937818288803,0.1,0.4056795131845842,0.5772005772005772,0.4056795131845842,1.0,0.6054095563139932,0.5272185063167135,0.6105476673427992,0.36843362657747547
4,2.1268018219206066,0.8993239496593122,0.680995014530641,1.6468134312718004,0.9522099875741534,0.050055529508325786,1.3382985613964222,0.48,0.4746450304259635,0.5829307568438004,0.42992874109263657,0.905,0.6321672354948805,0.5541377476636488,0.6125760649087221,0.38254003772016754
5,2.106628930127179,0.8968763047898257,0.6762637948548352,1.6221544676356845,0.9339203944912663,0.04805370899676173,1.3262518854052932,0.48,0.537525354969574,0.5854545454545454,0.46,0.805,0.6490273037542662,0.5691596509756764,0.6125760649087221,0.368461927467129
6,2.084150473276774,0.8914794877723411,0.6724470241202248,1.5980739516240579,0.9160182040046763,0.04588363292040648,1.3087045086754694,0.47,0.5172413793103449,0.5993265993265994,0.4517766497461929,0.89,0.6599488054607507,0.5812311814830635,0.6125760649087221,0.36453803311207755
7,2.0708959102630615,0.890135375989808,0.6669878871352585,1.5861062992502142,0.8990894743689785,0.04397301048178364,1.304718002125069,0.47,0.563894523326572,0.6025878003696857,0.4780058651026393,0.815,0.6674402730375426,0.5908819615184815,0.6105476673427992,0.3544905008635578
8,2.052477953610597,0.8879192703300052,0.6633449969468294,1.564081221818924,0.8805682626035478,0.0420468446833116,1.2941547952316426,0.45999999999999996,0.539553752535497,0.6106346483704974,0.46475195822454307,0.89,0.6731911262798635,0.5977919400149838,0.6085192697768763,0.337741935483871
9,2.0337104399998984,0.8861901285471739,0.6588749333664223,1.5404707701117903,0.8630731668737199,0.03966983569854939,1.2776449179207836,0.45999999999999996,0.5699797160243407,0.6015037593984962,0.4819277108433735,0.8,0.6769453924914677,0.602441522236445,0.6044624746450304,0.3028043843191468
10,2.014255945329313,0.8797809763087167,0.6522454619407654,1.5266853438483343,0.846336320594505,0.03798293708651154,1.2689264946513705,0.44000000000000006,0.5030425963488844,0.608,0.4470588235294118,0.95,0.6791979522184302,0.6046571514610626,0.6044624746450304,0.3028043843191468
11,1.9949871434105768,0.8787039744633215,0.6478382117218442,1.5009177470648731,0.8278849146984242,0.03577796590548975,1.2608483753822468,0.44000000000000006,0.537525354969574,0.6109215017064846,0.4637305699481865,0.895,0.6808361774744027,0.6067105452637522,0.5983772819472617,0.25191815856777494
12,1.9807544527230438,0.8790186439399366,0.6439967149937594,1.4815408907554768,0.8116658429304758,0.033635634204579726,1.2462926639450922,0.43000000000000005,0.5172413793103449,0.6059602649006622,0.452970297029703,0.915,0.6820648464163822,0.6081140152298306,0.5983772819472617,0.25191815856777494
13,1.9618636270364125,0.8753735097470107,0.6386708722070411,1.4629076597867188,0.7933521866798401,0.03154421908160051,1.2373218724021204,0.43000000000000005,0.5537525354969574,0.6113074204946997,0.4726775956284153,0.865,0.6832081911262798,0.6098600105354244,0.5983772819472617,0.25191815856777494
