epoch,train_loss,selection_score,system,rows,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,neutral_false_positive_rate,rare_false_positive_count,rare_predicted_positive_count,rare_true_positive_count
1,0.1807433654692896,1.0119487179487179,roberta-base,156,0.84,0.6268656716417911,0.717948717948718,0.4853304284676833,0.4302579646995674,0.4495150386840396,0.1044776119402985,0,0,5
2,0.09268925370688134,1.170528455284553,roberta-base,156,0.9285714285714286,0.7761194029850746,0.8455284552845529,0.6334640522875817,0.5324978687127024,0.5434626956195583,0.014925373134328358,0,0,5
3,0.05895455957989783,1.2147872587770285,roberta-base,156,0.9411764705882353,0.835820895522388,0.8853754940711462,0.643972088030059,0.5822436929683307,0.6012370452950163,0.04477611940298507,0,0,5
4,0.03693601928101456,1.2434326658441681,roberta-base,156,0.9512195121951219,0.8731343283582089,0.9105058365758755,0.6422670581920369,0.6052300211549998,0.6200448359698147,0.014925373134328358,0,0,5
5,0.027353211360527797,1.151863104592282,roberta-base,156,0.9043478260869565,0.7761194029850746,0.8353413654618473,0.6223744119225789,0.5359546588361592,0.5516673412155083,0.05970149253731343,0,0,5
6,0.017879994907181097,1.188384449825128,roberta-base,156,0.923728813559322,0.8134328358208955,0.8650793650793651,0.6292343153042216,0.5613330807363203,0.5803454264153326,0.04477611940298507,0,0,5
