epoch,train_loss,train_binary_label_loss,train_text_binary_distill,train_text_severity_distill,train_embedding_alignment,train_severity_consistency,train_severity_ce,val_threshold,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,val_pr_auc,val_severity_accuracy_pseudo,val_severity_macro_f1_pseudo
1,2.1875573120345737,0.8933674992039832,0.5831697781880697,1.373138267516051,0.7941094025028037,0.04463648779950793,1.3235677083333333,0.45999999999999996,0.565922920892495,0.6205673758865248,0.4807692307692308,0.875,0.7055290102389079,0.6494086735089938,0.5943204868154158,0.18638676844783714
2,2.043984720078429,0.8775906050127316,0.5632970452308654,1.2260310494562119,0.6734509003967502,0.025982481951899863,1.2198348566857298,0.43000000000000005,0.6085192697768763,0.6419294990723562,0.5103244837758112,0.865,0.7143856655290104,0.6539500364053692,0.5943204868154158,0.18638676844783714
3,1.9254629692221,0.8614019750899479,0.5383217170737148,1.1109394576035294,0.5767985992701744,0.014282545126962113,1.1433474605119827,0.38,0.6044624746450304,0.6473779385171791,0.5070821529745042,0.895,0.7203924914675768,0.6589815823846243,0.5943204868154158,0.18638676844783714
4,1.8513857383873469,0.8483940284885871,0.5246648226688111,1.0490827882082114,0.5191686000569453,0.008325097755141488,1.079073052832244,0.33,0.6125760649087221,0.6546112115732369,0.5127478753541076,0.905,0.7309897610921501,0.667572554323451,0.5943204868154158,0.18638676844783714
5,1.7924642982306305,0.8278190291784947,0.5043984298612557,1.0250859080186856,0.47490192543966836,0.006656842676424175,1.0338016152641611,0.29000000000000004,0.6328600405679513,0.6666666666666666,0.5276967930029155,0.905,0.7468600682593857,0.6806494693631886,0.6105476673427992,0.21126056990617398
6,1.7284570490612703,0.8130382085158154,0.48061926407751693,0.9640469349287694,0.43470703169930736,0.006441249030741251,1.0170798972800925,0.30000000000000004,0.6592292089249493,0.676923076923077,0.55,0.88,0.7619453924914676,0.6929655568285968,0.6227180527383367,0.25790598290598293
7,1.7081899596195596,0.8020736121728789,0.47500750932168856,0.9636355952759454,0.4176547347200722,0.0064867003902249415,1.0025834226919934,0.29000000000000004,0.6673427991886409,0.6821705426356589,0.5569620253164557,0.88,0.7756484641638226,0.7039497550260947,0.6389452332657201,0.2883364799664359
8,1.6660654799870676,0.7878636411007713,0.4627302645013743,0.9343292766341976,0.40133191793832385,0.00692075985973781,0.9704047574976171,0.26,0.6713995943204868,0.686046511627907,0.560126582278481,0.885,0.7858873720136519,0.7139979607029866,0.6348884381338742,0.28948201621073966
9,1.6109559518968877,0.7585669307342542,0.4487285544409991,0.9179505157249945,0.3804656835423056,0.007025964035263028,0.9286734653713916,0.36,0.7302231237322515,0.7024608501118568,0.6356275303643725,0.785,0.7958703071672355,0.7237687156417973,0.6450304259634888,0.3040794159993938
10,1.5960971904995653,0.7540360347962327,0.4363292116355273,0.9045505501865562,0.3696147921687897,0.0073771949062911065,0.9420952956920615,0.33,0.7281947261663286,0.7048458149779736,0.6299212598425197,0.8,0.8045563139931742,0.7334089685897441,0.6430020283975659,0.3032407407407407
11,1.5997275057051956,0.7675136767636197,0.43505110583209267,0.8888151602190564,0.35796040242014365,0.007554917346477308,0.9448902271412037,0.44000000000000006,0.7383367139959433,0.708803611738149,0.6460905349794238,0.785,0.8096075085324232,0.7369766787083923,0.6531440162271805,0.34034364511892606
12,1.5467451762399902,0.7420753661259067,0.4306700999180995,0.8489471825249574,0.3446527309407336,0.008508821198267338,0.9202205350456155,0.45999999999999996,0.7728194726166329,0.72,0.72,0.72,0.8150682593856656,0.7463857843369759,0.6572008113590264,0.33898504432228993
