label,threshold,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1,ap,auroc
hate_speech,0.2,5,96,5,91,0,0.052083333333333336,1.0,0.09900990099009901,0.07259291918781086,0.4872340425531915
discrimination,0.05,4,99,4,95,0,0.04040404040404041,1.0,0.07766990291262135,0.02774791350409613,0.1105263157894737
contextual_hate,0.05,2,99,2,97,0,0.020202020202020204,1.0,0.039603960396039604,0.016434506353861192,0.0824742268041237
threat,0.05,0,99,0,99,0,0.0,0.0,0.0,0.0,
violence,0.44999999999999996,35,79,34,45,1,0.43037974683544306,0.9714285714285714,0.5964912280701754,0.630274039236951,0.7397321428571428
fear,0.39999999999999997,10,79,10,69,0,0.12658227848101267,1.0,0.2247191011235955,0.1860597065605627,0.646067415730337
sexual,0.05,1,99,1,98,0,0.010101010101010102,1.0,0.02,0.010101010101010102,0.0
illegal,0.2,1,68,1,67,0,0.014705882352941176,1.0,0.028985507246376812,0.05,0.8061224489795918
online_harm,0.05,0,90,0,90,0,0.0,0.0,0.0,0.0,
