system,label,threshold,true_count,predicted_count,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
ensemble,hate_speech,0.6129197400444372,210,208,210,208,201,7,9,0.9663461538461539,0.9571428571428572,0.9617224880382775
ensemble,discrimination,0.8527774122487747,208,132,208,132,129,3,79,0.9772727272727273,0.6201923076923077,0.7588235294117648
ensemble,contextual_hate,0.5820702312320248,151,147,151,147,142,5,9,0.9659863945578231,0.9403973509933775,0.9530201342281879
ensemble,threat,0.99,17,0,17,0,0,0,17,0.0,0.0,0.0
ensemble,violence,0.2107065481377107,251,261,251,261,238,23,13,0.9118773946360154,0.9482071713147411,0.9296875
ensemble,fear,0.75,115,42,115,42,42,0,73,1.0,0.3652173913043478,0.535031847133758
ensemble,sexual,0.75,101,94,101,94,94,0,7,1.0,0.9306930693069307,0.9641025641025642
ensemble,illegal,0.95,8,0,8,0,0,0,8,0.0,0.0,0.0
ensemble,online_harm,0.9,14,4,14,4,4,0,10,1.0,0.2857142857142857,0.4444444444444445
