label,threshold,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1,ap,auroc
hate_speech,0.58056137112902,25,25,20,5,5,0.8,0.8,0.8,0.9105895399185242,0.979236641221374
discrimination,0.767658509872492,18,9,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.7523427305797151,0.9597423510466988
contextual_hate,0.6452198324456206,17,15,12,3,5,0.8,0.7058823529411765,0.75,0.8422340731164262,0.9767245027507406
threat,0.9,1,0,0,0,1,0.0,0.0,0.0,0.02702702702702703,0.7677419354838709
violence,0.3747323970542906,46,44,39,5,7,0.8863636363636364,0.8478260869565217,0.8666666666666667,0.9134717947680192,0.9233201581027667
fear,0.5102785970513204,18,9,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.6616404271260162,0.9074074074074074
sexual,0.85,5,2,2,0,3,1.0,0.4,0.5714285714285714,1.0,1.0
illegal,0.95,1,0,0,0,1,0.0,0.0,0.0,1.0,1.0
online_harm,0.9,3,0,0,0,3,0.0,0.0,0.0,1.0,1.0
