epoch,train_loss,train_binary_label_loss,train_text_binary_distill,train_text_severity_distill,train_embedding_alignment,train_severity_consistency,train_severity_ce,val_threshold,val_accuracy,val_f1,val_precision,val_recall,val_roc_auc,val_pr_auc,val_severity_accuracy_pseudo,val_severity_macro_f1_pseudo
1,1.7891520543815265,0.8654928553078429,0.5476745757661874,1.241522370859948,0.6678016063694341,0.03168821008559297,1.2542952793096405,0.36,0.6551724137931034,0.6755725190839694,0.5315315315315315,0.9267015706806283,0.8060746853437815,0.750352033426867,0.6125760649087221,0.189937106918239
2,1.5553879937055584,0.8012628533222057,0.48357740362744966,1.0322682571826678,0.47418683730958594,0.009028193914410083,1.1032309538398692,0.26,0.6997971602434077,0.704,0.56957928802589,0.9214659685863874,0.836517457785791,0.7794039817108824,0.6612576064908722,0.3075696073125263
3,1.391221439422865,0.7358602118745349,0.4263128296774457,0.9047048004364396,0.3893020287837857,0.008545419167897932,1.0485797823903866,0.35,0.7768762677484787,0.7429906542056075,0.6708860759493671,0.8324607329842932,0.8732013453070281,0.8273871801331498,0.6693711967545639,0.414252928141817
4,1.3062184191996755,0.678639429343422,0.4233704383856331,0.8585309984247669,0.3615596776499468,0.01335239268119309,1.0117167287922113,0.49,0.8154158215010142,0.7753086419753087,0.7336448598130841,0.8219895287958116,0.8808987205714086,0.8300283016297276,0.7099391480730223,0.5159964181048519
5,1.2291776145530422,0.634949973095736,0.41855739854227486,0.8011973707699308,0.3323679072599785,0.020508860789961683,1.0131893748031982,0.54,0.8235294117647058,0.7851851851851852,0.7429906542056075,0.8324607329842932,0.8898963281439617,0.8412289738098399,0.7383367139959433,0.5877120043881245
6,1.170388694243883,0.5778023072171445,0.4340641696517374,0.7880375083884902,0.32254791393518967,0.02705041580445754,0.9709802731449567,0.48,0.7931034482758621,0.7638888888888888,0.6846473029045643,0.8638743455497382,0.8885267501126867,0.8313804537147864,0.7403651115618661,0.6351812890104496
7,1.1705301647904391,0.5749122754145162,0.4427813567870453,0.7893991172183833,0.3150555994840489,0.03325461011973852,1.006776318518944,0.63,0.8356997971602435,0.7938931297709924,0.7722772277227723,0.8167539267015707,0.9111854651364377,0.8740002739979891,0.7545638945233266,0.6685062454147388
8,1.1109232334919226,0.5433079919053448,0.439409289494449,0.7319411695880048,0.30811024380275626,0.03710456477895732,0.9992205734086712,0.29000000000000004,0.8438133874239351,0.8050632911392405,0.7794117647058824,0.8324607329842932,0.9084809819354391,0.8779041310316608,0.716024340770791,0.6474988818497319
9,1.0693682855153395,0.4846672526810294,0.4702797160429113,0.7424296915742177,0.30775117535217134,0.04535993089931684,0.9881900238834954,0.86,0.8600405679513184,0.8022922636103151,0.8860759493670886,0.7329842931937173,0.926198814188135,0.9014982194693312,0.7464503042596349,0.6754488866551907
10,1.0611125681947,0.4988105458761352,0.4519767725608902,0.708334183020919,0.3032134086218275,0.047782135178843034,0.9973117304783241,0.6,0.8640973630831643,0.8241469816272966,0.8263157894736842,0.8219895287958116,0.9248812454491869,0.8957794784385538,0.7342799188640974,0.6486946755618791
