system,label,threshold,true_count,predicted_count,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
roberta-base,hate_speech,0.6307926177978516,62,59,62,59,58,1,4,0.9830508474576272,0.9354838709677419,0.9586776859504132
roberta-base,discrimination,0.6764432787895203,53,47,53,47,46,1,7,0.9787234042553191,0.8679245283018868,0.9199999999999999
roberta-base,contextual_hate,0.49753597378730774,42,40,42,40,38,2,4,0.95,0.9047619047619048,0.9268292682926829
roberta-base,threat,0.99,4,0,4,0,0,0,4,0.0,0.0,0.0
roberta-base,violence,0.5856112837791443,77,82,77,82,72,10,5,0.8780487804878049,0.935064935064935,0.9056603773584906
roberta-base,fear,0.75,37,33,37,33,27,6,10,0.8181818181818182,0.7297297297297297,0.7714285714285715
roberta-base,sexual,0.9194736480712891,27,26,27,26,26,0,1,1.0,0.9629629629629629,0.9811320754716981
roberta-base,illegal,0.95,1,0,1,0,0,0,1,0.0,0.0,0.0
roberta-base,online_harm,0.9,5,0,5,0,0,0,5,0.0,0.0,0.0
