label,threshold,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1,ap,auroc
hate_speech,0.39999999999999997,25,71,19,52,6,0.2676056338028169,0.76,0.3958333333333333,0.36813050531468045,0.7100763358778626
discrimination,0.7999999999999999,18,15,8,7,10,0.5333333333333333,0.4444444444444444,0.48484848484848486,0.49568939419589025,0.7761674718196456
contextual_hate,0.7999999999999999,17,10,5,5,12,0.5,0.29411764705882354,0.37037037037037035,0.3098722055838983,0.7300042319085909
threat,0.6,1,28,1,27,0,0.03571428571428571,1.0,0.06896551724137931,0.1,0.9419354838709678
violence,0.6,46,46,26,20,20,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5432783827503456,0.7241106719367589
fear,0.05,18,156,18,138,0,0.11538461538461539,1.0,0.20689655172413793,0.16098299212884087,0.4724235104669887
sexual,0.6,5,35,3,32,2,0.08571428571428572,0.6,0.15,0.15269186712485677,0.6596026490066225
illegal,0.44999999999999996,1,32,1,31,0,0.03125,1.0,0.06060606060606061,0.07142857142857142,0.9161290322580645
online_harm,0.5499999999999999,3,51,2,49,1,0.0392156862745098,0.6666666666666666,0.07407407407407407,0.03293211327451688,0.6122004357298475
