system,label,threshold,true_count,predicted_count,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
roberta-base,hate_speech,0.7643578052520752,62,60,62,60,58,2,4,0.9666666666666667,0.9354838709677419,0.9508196721311476
roberta-base,discrimination,0.7842401266098022,53,45,53,45,44,1,9,0.9777777777777777,0.8301886792452831,0.8979591836734695
roberta-base,contextual_hate,0.8324306607246399,42,36,42,36,35,1,7,0.9722222222222222,0.8333333333333334,0.8974358974358975
roberta-base,threat,0.99,4,0,4,0,0,0,4,0.0,0.0,0.0
roberta-base,violence,0.3850289285182953,77,83,77,83,73,10,4,0.8795180722891566,0.948051948051948,0.9125
roberta-base,fear,0.75,37,23,37,23,20,3,17,0.8695652173913043,0.5405405405405406,0.6666666666666666
roberta-base,sexual,0.9358305335044861,27,27,27,27,27,0,0,1.0,1.0,1.0
roberta-base,illegal,0.99,1,0,1,0,0,0,1,0.0,0.0,0.0
roberta-base,online_harm,0.9,5,0,5,0,0,0,5,0.0,0.0,0.0
