epoch,train_loss,selection_score,system,rows,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,neutral_false_positive_rate,rare_false_positive_count,rare_predicted_positive_count,rare_true_positive_count
1,0.17721306690153607,1.086376172090458,roberta-base,156,0.8648648648648649,0.7164179104477612,0.7836734693877551,0.49545199078020896,0.49545199078020896,0.49545199078020896,0.04477611940298507,0,0,5
2,0.08147025507864879,1.1850899249170594,roberta-base,156,0.9304347826086956,0.7985074626865671,0.8594377510040161,0.6312866660351742,0.5448669129487543,0.5605795953281034,0.014925373134328358,0,0,5
3,0.04740945792241775,1.1530346458385583,roberta-base,156,0.911504424778761,0.7686567164179104,0.8340080971659919,0.6226983675918033,0.5239329354930378,0.5338094787029143,0.0,0,0,5
4,0.03283469941457139,1.2165134334457044,roberta-base,156,0.9487179487179487,0.8283582089552238,0.8844621513944223,0.6261639986107164,0.564435603548988,0.5798677023144201,0.014925373134328358,0,0,5
5,0.02298233373198371,1.2256335735875377,roberta-base,156,0.9495798319327731,0.8432835820895522,0.8932806324110671,0.6307936282403461,0.5767812825613338,0.5934004658471836,0.014925373134328358,0,0,5
6,0.01509294943064154,1.2256335735875377,roberta-base,156,0.9495798319327731,0.8432835820895522,0.8932806324110671,0.6307936282403461,0.5767812825613338,0.5934004658471836,0.014925373134328358,0,0,5
7,0.01067478563345503,1.2193471128608924,roberta-base,156,0.9416666666666667,0.8432835820895522,0.889763779527559,0.6299213791796912,0.5805386631303084,0.5969995684801028,0.014925373134328358,0,0,5
