system,label,threshold,true_count,predicted_count,support,predicted_positive_count,true_positives,false_positives,false_negatives,precision,recall,f1
text_multilabel_classifier,hate_speech,0.6129197400444372,25,25,25,25,20,5,5,0.8,0.8,0.8000000000000002
text_multilabel_classifier,discrimination,0.8527774122487747,18,11,18,11,9,2,9,0.8181818181818182,0.5,0.6206896551724137
text_multilabel_classifier,contextual_hate,0.5820702312320248,17,17,17,17,14,3,3,0.8235294117647058,0.8235294117647058,0.8235294117647058
text_multilabel_classifier,threat,0.99,1,0,1,0,0,0,1,0.0,0.0,0.0
text_multilabel_classifier,violence,0.2107065481377107,46,45,46,45,39,6,7,0.8666666666666667,0.8478260869565217,0.8571428571428571
text_multilabel_classifier,fear,0.75,18,3,18,3,3,0,15,1.0,0.16666666666666666,0.2857142857142857
text_multilabel_classifier,sexual,0.75,5,4,5,4,4,0,1,1.0,0.8,0.888888888888889
text_multilabel_classifier,illegal,0.95,1,0,1,0,0,0,1,0.0,0.0,0.0
text_multilabel_classifier,online_harm,0.9,3,2,3,2,2,0,1,1.0,0.6666666666666666,0.8
