label,threshold,support,precision,recall,f1,ap,auroc
hate_speech,0.35,2,0.3333333333333333,1.0,0.5,0.8333333333333333,0.9
discrimination,0.44999999999999996,2,0.3333333333333333,1.0,0.5,0.5,0.7
contextual_hate,0.3,2,0.3333333333333333,1.0,0.5,0.5833333333333333,0.8
threat,0.05,0,0.0,0.0,0.0,0.0,
violence,0.44999999999999996,1,1.0,1.0,1.0,1.0,1.0
fear,0.05,0,0.0,0.0,0.0,0.0,
sexual,0.35,1,0.25,1.0,0.4,0.3333333333333333,0.6666666666666667
illegal,0.05,0,0.0,0.0,0.0,0.0,
online_harm,0.05,0,0.0,0.0,0.0,0.0,
